
top - 14:50:25 up 1 day,  4:16,  3 users,  load average: 0.14, 0.52, 0.57
Tasks: 150 total,   1 running,  88 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.4 us,  2.7 sy,  0.0 ni, 80.2 id,  0.0 wa,  0.0 hi,  0.7 si,  0.0 st
KiB Mem :  7996700 total,  3699416 free,  2164376 used,  2132908 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5729288 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  105 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/41-aerdrv
  107 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 DWC Notificatio
  109 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-slot/0
  110 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-recy/0
  111 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vchiq-sync/0
  112 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrconf
  123 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  126 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u9:0
  131 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cryptd
  157 root      20   0       0      0      0 S   0.0  0.0   0:00.00 spi0
  158 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 sdhci
  159 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/28-mmc0
  161 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_manager
  188 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmc_complete
  190 root       0 -20       0      0      0 I   0.0  0.0   0:04.56 kworker/3:1H-kb
  204 root       0 -20       0      0      0 I   0.0  0.0   0:05.33 kworker/1:1H-kb
  225 root       0 -20       0      0      0 I   0.0  0.0   0:04.63 kworker/2:1H-kb
  824 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 raid5wq
  890 root      20   0       0      0      0 S   0.0  0.0   0:04.85 jbd2/mmcblk0p2-
  891 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-conver
  971 root      19  -1   43484  13892  12256 S   0.0  0.2   0:15.48 systemd-journal
  972 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iscsi_eh
  986 root      20   0   86136   1104    916 S   0.0  0.0   0:00.00 lvmetad
  988 root      20   0   17488   4660   2532 S   0.0  0.1   0:02.23 systemd-udevd
 1008 root      20   0       0      0      0 S   0.0  0.0   0:00.00 vchiq-keep/0
 1009 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 SMIO
 1013 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1014 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1016 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1017 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1024 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
 1060 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 brcmf_wq/mmc1:0
 1065 root      20   0       0      0      0 S   0.0  0.0   0:15.94 brcmf_wdog/mmc1
 1335 systemd+  20   0   83592   2492   2048 S   0.0  0.0   0:00.71 systemd-timesyn
 1655 systemd+  20   0   11368   4420   3916 S   0.0  0.1   0:05.19 systemd-network
 1656 systemd+  20   0   10408   5244   4608 S   0.0  0.1   0:15.19 systemd-resolve
 1693 root      20   0  234796   6616   5544 S   0.0  0.1   0:06.41 accounts-daemon
 1694 root      20   0   10232   5012   4364 S   0.0  0.1   0:00.61 systemd-logind
 1696 root      20   0  224560   1316   1052 S   0.0  0.0   0:00.85 lxcfs
 1697 message+  20   0    7196   4320   3360 S   0.0  0.1   0:14.11 dbus-daemon
 1711 root      20   0  239880   9720   7552 S   0.0  0.1   0:00.71 ModemManager
 1712 root      20   0    7068   2596   2304 S   0.0  0.0   0:00.47 cron
 1713 daemon    20   0    3656   1912   1712 S   0.0  0.0   0:00.00 atd
 1714 root      20   0    9780   7072   6108 S   0.0  0.1   0:01.96 wpa_supplicant
 1715 root      20   0   80376   2844   2476 S   0.0  0.0   0:07.07 irqbalance
 1716 root      20   0  100444  16316   8500 S   0.0  0.2   0:00.75 networkd-dispat
 1717 syslog    20   0  220212   3912   3108 S   0.0  0.0   0:02.80 rsyslogd
 1718 root      20   0  328688  16828  12756 S   0.0  0.2   1:31.72 NetworkManager
 1721 root      20   0  231476   6116   5332 S   0.0  0.1   0:03.11 polkitd
 1739 root      20   0  105236  18984  11080 S   0.0  0.2   0:00.29 unattended-upgr
 1755 root      20   0    8368   5552   4308 S   0.0  0.1   0:00.40 dhclient
 1800 root      20   0    5728   1948   1804 S   0.0  0.0   0:00.01 agetty
 1807 root      20   0    4204   1484   1356 S   0.0  0.0   0:00.01 agetty
 1816 root      20   0   10420   5588   4868 S   0.0  0.1   0:02.30 sshd
 1861 ubuntu    20   0   13128   7404   5588 S   0.0  0.1   0:00.55 systemd
 1862 ubuntu    20   0   16004   4300   1476 S   0.0  0.1   0:00.00 (sd-pam)
23204 root      20   0   12324   6308   5324 S   0.0  0.1   0:00.06 sshd
23297 ubuntu    20   0   12324   3728   2744 S   0.0  0.0   0:01.36 sshd
23298 ubuntu    20   0    8520   4736   2936 S   0.0  0.1   0:01.07 bash
23364 root      20   0       0      0      0 I   0.0  0.0   0:03.31 kworker/u8:1-ev
23462 root      20   0   12324   6312   5328 S   0.0  0.1   0:00.06 sshd
23531 ubuntu    20   0    8392   4768   3068 S   0.0  0.1   0:00.22 bash
23845 root      20   0    8884   3248   2792 S   0.0  0.0   0:00.03 su
23846 root      20   0    7284   3432   2956 S   0.0  0.0   0:00.06 bash
23862 root      20   0       0      0      0 I   0.0  0.0   0:00.96 kworker/1:1-eve
24025 root      20   0       0      0      0 I   0.0  0.0   0:00.68 kworker/3:2-eve
24052 root      20   0       0      0      0 I   0.0  0.0   0:00.25 kworker/1:2-rcu
24072 root      20   0       0      0      0 I   0.0  0.0   0:01.21 kworker/u8:2-ev
24231 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:2H
24313 root      20   0       0      0      0 I   0.0  0.0   0:00.19 kworker/3:3-eve
24410 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:0H
24413 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0-mm_
24414 root      20   0       0      0      0 I   0.0  0.0   0:00.07 kworker/1:0-eve
24416 root      20   0       0      0      0 I   0.0  0.0   0:00.22 kworker/0:1-eve
24420 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0H-kb
24421 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:1H
24436 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:3
24440 root      20   0  879060  26692   7268 S   0.0  0.3   0:00.35 5gc
24442 root      20   0  376536  40204  11520 S   0.0  0.5   0:00.32 open5gs-nrfd
24444 root      20   0 13.833g 767644   4800 S   0.0  9.6   0:02.46 open5gs-upfd
24451 root      20   0  407936  38920   7388 S   0.0  0.5   0:00.92 open5gs-ausfd
24457 root      20   0  370536  32252   7012 S   0.0  0.4   0:00.15 open5gs-nssfd
24515 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:0H
24538 root      20   0       0      0      0 I   0.0  0.0   0:00.08 kworker/0:0-eve
24540 root      20   0   12324   6288   5304 S   0.0  0.1   0:00.06 sshd
24629 ubuntu    20   0   12324   3732   2748 S   0.0  0.0   0:00.04 sshd
24630 ubuntu    20   0    8392   4652   3040 S   0.0  0.1   0:00.17 bash
24642 root      20   0       0      0      0 I   0.0  0.0   0:00.01 kworker/3:0-eve
24646 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:2H
24651 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:2
24655 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:0H
24657 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:2H
26407 root      20   0  274264  12724  11032 S   0.0  0.2   0:01.01 packagekitd
29822 root       0 -20       0      0      0 I   0.0  0.0   0:02.77 kworker/0:2H-mm

top - 14:50:37 up 1 day,  4:16,  3 users,  load average: 0.57, 0.61, 0.60
Tasks: 150 total,   1 running,  88 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.5 us,  2.5 sy,  0.0 ni, 83.6 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
KiB Mem :  7996700 total,  3693668 free,  2170012 used,  2133020 buff/cache
KiB Swap:        0 total,        0 free,        0 used.  5723704 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2040 root      20   0  984036  74784  22328 S  43.7  0.9  68:13.37 mongod
24447 root      20   0 12.738g 872064  13992 S   5.8 10.9   0:04.63 open5gs-smfd
24462 root      20   0  376452  46912  12652 S   3.9  0.6   0:02.04 open5gs-udrd
24449 root      20   0  909920  55680  11948 S   2.9  0.7   0:11.28 open5gs-amfd
24455 root      20   0  898040  54360  12372 S   2.9  0.7   0:01.80 open5gs-pcfd
24444 root      20   0 13.833g 767644   4800 S   1.9  9.6   0:02.48 open5gs-upfd
24453 root      20   0  406800  47360   9368 S   1.9  0.6   0:02.52 open5gs-udmd
24654 ubuntu    20   0    9436   3424   2816 R   1.9  0.0   0:01.17 top
23321 root      20   0       0      0      0 I   1.0  0.0   0:04.33 kworker/u8:0-br
    1 root      20   0  161364   8516   5720 S   0.0  0.1   0:15.71 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.26 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:08.30 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   0:47.27 rcu_preempt
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.78 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.82 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:04.96 ksoftirqd/1
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.79 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:04.41 ksoftirqd/2
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:00.78 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:04.22 ksoftirqd/3
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.07 khungtaskd
   38 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   39 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   40 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   41 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   89 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   90 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   91 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 blkcg_punt_bio
   92 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
   93 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   94 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   95 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   96 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   98 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
  101 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
  102 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  104 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  105 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/41-aerdrv
  107 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 DWC Notificatio
  109 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-slot/0
  110 root       1 -19       0      0      0 S   0.0  0.0   0:00.00 vchiq-recy/0
  111 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vchiq-sync/0
  112 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrconf
  123 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  126 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u9:0
  131 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cryptd
  157 root      20   0       0      0      0 S   0.0  0.0   0:00.00 spi0
  158 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 sdhci
  159 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/28-mmc0
  161 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_manager
  188 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmc_complete
  190 root       0 -20       0      0      0 I   0.0  0.0   0:04.56 kworker/3:1H-kb
  204 root       0 -20       0      0      0 I   0.0  0.0   0:05.33 kworker/1:1H-kb
  225 root       0 -20       0      0      0 I   0.0  0.0   0:04.63 kworker/2:1H-kb
  824 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 raid5wq
  890 root      20   0       0      0      0 S   0.0  0.0   0:04.85 jbd2/mmcblk0p2-
  891 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-conver
  971 root      19  -1   43484  13892  12256 S   0.0  0.2   0:15.48 systemd-journal
  972 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iscsi_eh
  986 root      20   0   86136   1104    916 S   0.0  0.0   0:00.00 lvmetad
  988 root      20   0   17488   4660   2532 S   0.0  0.1   0:02.23 systemd-udevd
 1008 root      20   0       0      0      0 S   0.0  0.0   0:00.00 vchiq-keep/0
 1009 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 SMIO
 1013 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1014 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1016 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1017 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mmal-vchiq
 1024 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
 1060 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 brcmf_wq/mmc1:0
 1065 root      20   0       0      0      0 S   0.0  0.0   0:15.94 brcmf_wdog/mmc1
 1335 systemd+  20   0   83592   2492   2048 S   0.0  0.0   0:00.71 systemd-timesyn
 1655 systemd+  20   0   11368   4420   3916 S   0.0  0.1   0:05.19 systemd-network
 1656 systemd+  20   0   10408   5244   4608 S   0.0  0.1   0:15.19 systemd-resolve
 1693 root      20   0  234796   6616   5544 S   0.0  0.1   0:06.41 accounts-daemon
 1694 root      20   0   10232   5012   4364 S   0.0  0.1   0:00.61 systemd-logind
 1696 root      20   0  224560   1316   1052 S   0.0  0.0   0:00.85 lxcfs
 1697 message+  20   0    7196   4320   3360 S   0.0  0.1   0:14.11 dbus-daemon
 1711 root      20   0  239880   9720   7552 S   0.0  0.1   0:00.71 ModemManager
 1712 root      20   0    7068   2596   2304 S   0.0  0.0   0:00.47 cron
 1713 daemon    20   0    3656   1912   1712 S   0.0  0.0   0:00.00 atd
 1714 root      20   0    9780   7072   6108 S   0.0  0.1   0:01.96 wpa_supplicant
 1715 root      20   0   80376   2844   2476 S   0.0  0.0   0:07.07 irqbalance
 1716 root      20   0  100444  16316   8500 S   0.0  0.2   0:00.75 networkd-dispat
 1717 syslog    20   0  220212   3912   3108 S   0.0  0.0   0:02.80 rsyslogd
 1718 root      20   0  328688  16828  12756 S   0.0  0.2   1:31.72 NetworkManager
 1721 root      20   0  231476   6116   5332 S   0.0  0.1   0:03.11 polkitd
 1739 root      20   0  105236  18984  11080 S   0.0  0.2   0:00.29 unattended-upgr
 1755 root      20   0    8368   5552   4308 S   0.0  0.1   0:00.40 dhclient
 1800 root      20   0    5728   1948   1804 S   0.0  0.0   0:00.01 agetty
 1807 root      20   0    4204   1484   1356 S   0.0  0.0   0:00.01 agetty
 1816 root      20   0   10420   5588   4868 S   0.0  0.1   0:02.30 sshd
 1861 ubuntu    20   0   13128   7404   5588 S   0.0  0.1   0:00.55 systemd
 1862 ubuntu    20   0   16004   4300   1476 S   0.0  0.1   0:00.00 (sd-pam)
23204 root      20   0   12324   6308   5324 S   0.0  0.1   0:00.06 sshd
23297 ubuntu    20   0   12324   3728   2744 S   0.0  0.0   0:01.36 sshd
23298 ubuntu    20   0    8520   4736   2936 S   0.0  0.1   0:01.07 bash
23364 root      20   0       0      0      0 I   0.0  0.0   0:03.31 kworker/u8:1-ev
23462 root      20   0   12324   6312   5328 S   0.0  0.1   0:00.06 sshd
23530 ubuntu    20   0   12456   3868   2884 S   0.0  0.0   0:04.92 sshd
23531 ubuntu    20   0    8392   4768   3068 S   0.0  0.1   0:00.22 bash
23561 root      20   0       0      0      0 I   0.0  0.0   0:01.83 kworker/2:1-eve
23845 root      20   0    8884   3248   2792 S   0.0  0.0   0:00.03 su
23846 root      20   0    7284   3432   2956 S   0.0  0.0   0:00.06 bash
23862 root      20   0       0      0      0 I   0.0  0.0   0:00.96 kworker/1:1-eve
24025 root      20   0       0      0      0 I   0.0  0.0   0:00.68 kworker/3:2-eve
24033 root      20   0       0      0      0 I   0.0  0.0   0:01.47 kworker/u8:3-ev
24052 root      20   0       0      0      0 I   0.0  0.0   0:00.25 kworker/1:2-rcu
24072 root      20   0       0      0      0 I   0.0  0.0   0:01.21 kworker/u8:2-ev
24231 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:2H
24233 root      20   0       0      0      0 I   0.0  0.0   0:00.85 kworker/0:3-eve
24313 root      20   0       0      0      0 I   0.0  0.0   0:00.19 kworker/3:3-eve
24410 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:0H
24413 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0-mm_
24414 root      20   0       0      0      0 I   0.0  0.0   0:00.07 kworker/1:0-eve
24416 root      20   0       0      0      0 I   0.0  0.0   0:00.22 kworker/0:1-eve
24420 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0H-kb
24421 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:1H
